timestamp,event,strategy_key,base_symbol,symbol,call_symbol,put_symbol,price_call,price_put,combined_price,target_pct,stop_pct,target_abs,stop_abs,details,ce_request,ce_response,pe_request,pe_response
2026-03-05T13:59:32,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE, no PE. Waiting for LTP in range.",,,,
2026-03-05T14:00:32,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE, no PE. Waiting for LTP in range.",,,,
2026-03-05T14:01:33,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE, no PE. Waiting for LTP in range.",,,,
2026-03-05T14:02:34,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE. Waiting for LTP in range.",,,,
2026-03-05T14:03:34,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE. Waiting for LTP in range.",,,,
2026-03-05T14:04:35,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE. Waiting for LTP in range.",,,,
2026-03-05T14:05:35,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE. Waiting for LTP in range.",,,,
2026-03-05T14:06:36,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE, no PE. Waiting for LTP in range.",,,,
2026-03-05T14:07:36,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE, no PE. Waiting for LTP in range.",,,,
2026-03-05T14:08:37,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE. Waiting for LTP in range.",,,,
2026-03-05T14:09:37,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE, no PE. Waiting for LTP in range.",,,,
2026-03-05T14:10:38,NO_STRIKE_IN_RANGE,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,,,,,,,,,,"No strike in premium range [190.0, 195.0] for NIFTY. Missing: no CE, no PE. Waiting for LTP in range.",,,,
2026-03-05T14:11:05,ENTRY,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,NSE:NIFTY2631024600CE,NSE:NIFTY2631024450PE,194.9,190.4,385.3,10.0,0.0,38.53,0.0,"Placed BUY orders on Fyers (qty=130). CE order: RED:Margin Shortfall:INR 25,357.00 Available:INR 0.00 for C-YK15677 [FYERS_RISK_CUG]; PE order: RED:Margin Shortfall:INR 24,772.00 Available:INR 0.00 for C-YK15677 [FYERS_RISK_CUG] [CE id=26030500456945] [PE id=26030500456950]","{""symbol"": ""NSE:NIFTY2631024600CE"", ""qty"": 130, ""type"": 1, ""side"": 1, ""productType"": ""INTRADAY"", ""limitPrice"": 194.9, ""stopPrice"": 0, ""validity"": ""DAY"", ""disclosedQty"": 0, ""offlineOrder"": false}","{""code"": -99, ""message"": ""RED:Margin Shortfall:INR 25,357.00 Available:INR 0.00 for C-YK15677 [FYERS_RISK_CUG]"", ""s"": ""error"", ""id"": ""26030500456945""}","{""symbol"": ""NSE:NIFTY2631024450PE"", ""qty"": 130, ""type"": 1, ""side"": 1, ""productType"": ""INTRADAY"", ""limitPrice"": 190.4, ""stopPrice"": 0, ""validity"": ""DAY"", ""disclosedQty"": 0, ""offlineOrder"": false}","{""code"": -99, ""message"": ""RED:Margin Shortfall:INR 24,772.00 Available:INR 0.00 for C-YK15677 [FYERS_RISK_CUG]"", ""s"": ""error"", ""id"": ""26030500456950""}"
2026-03-05T14:38:09,EXIT_TARGET,BSE:SENSEX26MARFUT|WEEKLY|05-03-2026,SENSEX,BSE:SENSEX26MARFUT,BSE:SENSEX2630579400CE,BSE:SENSEX2630579200PE,204.0,10.25,214.25,20.0,0.0,35.19,0.0,Exiting trade on target hit. Placed SELL orders (qty=30). CE sell: 30 not a multiple of minimum lot size 20; PE sell: 30 not a multiple of minimum lot size 20,"{""symbol"": ""BSE:SENSEX2630579400CE"", ""qty"": 30, ""type"": 1, ""side"": -1, ""productType"": ""INTRADAY"", ""limitPrice"": 204.0, ""stopPrice"": 0, ""validity"": ""DAY"", ""disclosedQty"": 0, ""offlineOrder"": false}","{""code"": -50, ""message"": ""30 not a multiple of minimum lot size 20"", ""s"": ""error""}","{""symbol"": ""BSE:SENSEX2630579200PE"", ""qty"": 30, ""type"": 1, ""side"": -1, ""productType"": ""INTRADAY"", ""limitPrice"": 10.25, ""stopPrice"": 0, ""validity"": ""DAY"", ""disclosedQty"": 0, ""offlineOrder"": false}","{""code"": -50, ""message"": ""30 not a multiple of minimum lot size 20"", ""s"": ""error""}"
2026-03-05T14:41:02,EXIT_TARGET,NSE:NIFTY26MARFUT|WEEKLY|10-03-2026,NIFTY,NSE:NIFTY26MARFUT,NSE:NIFTY2631024600CE,NSE:NIFTY2631024450PE,309.55,116.05,425.6,10.0,0.0,38.53,0.0,"Exiting trade on target hit. Placed SELL orders (qty=130). CE sell: RED:Margin Shortfall:INR 3,77,367.10 Available:INR 0.00 for C-YK15677 [FYERS_RISK_CUG]; PE sell: RED:Margin Shortfall:INR 3,72,721.70 Available:INR 0.00 for C-YK15677 [FYERS_RISK_CUG]","{""symbol"": ""NSE:NIFTY2631024600CE"", ""qty"": 130, ""type"": 1, ""side"": -1, ""productType"": ""INTRADAY"", ""limitPrice"": 309.55, ""stopPrice"": 0, ""validity"": ""DAY"", ""disclosedQty"": 0, ""offlineOrder"": false}","{""code"": -99, ""message"": ""RED:Margin Shortfall:INR 3,77,367.10 Available:INR 0.00 for C-YK15677 [FYERS_RISK_CUG]"", ""s"": ""error"", ""id"": ""26030500520028""}","{""symbol"": ""NSE:NIFTY2631024450PE"", ""qty"": 130, ""type"": 1, ""side"": -1, ""productType"": ""INTRADAY"", ""limitPrice"": 116.05, ""stopPrice"": 0, ""validity"": ""DAY"", ""disclosedQty"": 0, ""offlineOrder"": false}","{""code"": -99, ""message"": ""RED:Margin Shortfall:INR 3,72,721.70 Available:INR 0.00 for C-YK15677 [FYERS_RISK_CUG]"", ""s"": ""error"", ""id"": ""26030500520033""}"
